city_id,city_name,country_code,latitude,longitude,date,max_temp,humidity,cloudiness,wind_speed
935,yumen,cn,37.9917,95.6587,1552585002,26.07,56,0,6.62
936,praia da vitoria,pt,45.4469,-24.0728,1552584625,62.01,72,75,11.21
937,castro,cl,-47.509,-101.6128,1552582800,59,62,40,9.17
938,nanortalik,gl,49.4779,-38.4225,1552584619,22.74,100,0,33.24
939,qaanaaq,gl,81.3673,-85.884,1552584612,-12.86,100,24,9.75
940,fort nelson,ca,59.18,-122.3469,1552582800,23,62,75,1.14
941,naliya,in,22.6854,67.7039,1552585022,66.84,44,0,7.4
942,nemuro,jp,38.4117,149.0493,1552584844,29.94,100,0,17.02
943,yaya,ru,56.067,86.4607,1552585022,33.67,93,32,13.33
945,victoria,sc,-4.5932,61.6393,1552582800,84.2,74,20,5.82
947,takoradi,gh,0.582,-0.5364,1552584650,84.79,94,44,7.74
948,bambous virieux,mu,-29.6083,84.4473,1552584544,80.6,74,75,3.71
949,vesyegonsk,ru,58.5557,37.3971,1552585022,23.55,81,24,15.46
950,boyolangu,id,-11.4854,110.7894,1552584977,69.85,87,12,4.94
951,arraial do cabo,br,-41.3126,-27.2371,1552582800,91.4,70,20,12.75
952,santiago,br,-29.0888,-55.0763,1552585023,81.91,44,0,6.06
953,saskylakh,ru,73.2719,114.0927,1552584620,-21.01,30,0,10.42
954,jalingo,ng,7.77,11.1865,1552585023,90.87,15,0,8.97
955,port alfred,za,-79.7935,47.7216,1552584580,68,94,88,3.94
956,saskylakh,ru,74.5367,112.8614,1552584620,-21.01,30,0,10.42
957,honiara,sb,-11.9181,159.1362,1552584661,72.24,100,20,2.48
958,pisco,pe,-20.4144,-85.4645,1552582800,71.6,30,20,11.41
961,makakilo city,us,8.0941,-165.5581,1552584622,71.6,77,1,4.7
962,torbay,ca,47.2832,-51.7366,1552584206,39.99,47,40,11.41
964,nyurba,ru,65.8539,116.2422,1552584646,10.54,71,88,5.39
965,chuy,uy,-66.1842,-21.7007,1552584640,75.12,88,64,11.65
966,saskylakh,ru,69.2822,115.647,1552584620,-21.01,30,0,10.42
968,hilo,us,21.2842,-140.9231,1552584378,66.99,88,90,5.82
969,russkaya polyana,ru,53.2245,73.7253,1552585024,31.06,90,20,13.67
970,busselton,au,-67.6479,96.1372,1552584607,66,39,0,11.43
971,longyearbyen,sj,90.4563,22.176,1552582200,-0.41,70,40,8.05
972,souillac,mu,-59.0278,78.7843,1552584544,80.6,74,75,3.71
973,los llanos de aridane,es,27.51,-18.1842,1552584360,66.2,68,75,5.82
974,ribeira grande,pt,27.5298,-32.385,1552581000,62.6,67,20,16.11
975,timmins,ca,48.052,-82.1716,1552582800,37.4,93,90,14.99
976,baraki barak,af,34.0434,68.7391,1552585024,12.48,60,0,2.37
977,thompson,ca,57.5701,-93.4224,1552582800,24.8,62,90,6.93
978,roald,no,74.3221,0.3705,1552584904,39.2,97,75,3.36
979,rikitea,pf,-47.1956,-135.835,1552584623,75.34,100,100,17.36
980,shihezi,cn,43.6844,86.116,1552585024,23.32,87,76,1.7
981,hermanus,za,-82.4692,-10.3446,1552584614,77,79,0,4
982,nanortalik,gl,54.362,-42.2328,1552584619,22.74,100,0,33.24
983,butaritari,ki,13.3901,173.1239,1552584618,78.9,100,92,12.21
984,rikitea,pf,-69.7707,-137.0256,1552584623,75.34,100,100,17.36
985,ushuaia,ar,-75.633,-54.1583,1552582800,57.2,54,20,6.85
987,rikitea,pf,-50.2126,-119.463,1552584623,75.34,100,100,17.36
990,jamestown,sh,-26.9779,-13.8242,1552584528,76.24,100,80,15.68
991,rikitea,pf,-50.8352,-125.8243,1552584623,75.34,100,100,17.36
992,cherskiy,ru,70.8473,160.7594,1552584634,-26.09,39,48,2.48
993,lakshmipur,bd,22.8377,91.1064,1552585025,76.06,78,32,3.04
994,albany,au,-78.6308,116.3473,1552582800,55.4,87,0,8.05
995,ushuaia,ar,-81.4795,-21.5216,1552582800,57.2,54,20,6.85
996,puerto ayora,ec,0.1393,-105.7486,1552583779,80.6,74,0,10.29
997,hobart,au,-53.4644,150.6432,1552584316,54,76,40,8.05
998,bluff,nz,-76.7034,163.5641,1552584608,43,92,0,1.01
